,Name,Type,HP,Spe,Atk,Def,Sp.A,Sp.D,SP,BST,eBST
0,Cubzero,Ice,199,93,136,114,103,124,54,823,720
1,Aroara,Ice,230,124,177,145,134,153,54,1017,883
2,Bearealis,Ice,271,163,208,186,175,184,54,1241,1066
3,Toruga,Fire,189,137,104,95,126,107,54,812,708
4,Embaval,Fire,230,166,127,124,167,133,54,1001,874
5,Volcadon,Fire,268,204,185,150,241,166,54,1268,1083
6,Nibblegar,Water,198,96,94,136,103,137,54,818,724
7,Sheartooth,Water,227,121,131,167,135,165,54,1000,869
8,Megalobite,Water,267,161,171,209,173,219,54,1254,1083
9,Swurmy,Normal,190,103,72,63,41,41,54,564,523
10,Beezel,Normal,211,146,166,76,67,103,54,823,756
11,Humbee,Normal,252,190,252,96,94,179,54,1117,1023
12,Silquill,Normal,187,115,96,84,61,76,54,673,612
13,Gildwing,Normal,233,157,133,117,84,103,54,881,797
14,Golbeak,Normal,281,213,167,153,166,147,54,1181,1015
15,Slitherpin,Normal,190,129,137,93,95,129,54,827,732
16,Serpike,Normal,251,193,218,158,144,193,54,1211,1067
17,Houndos,Electric,201,137,124,64,166,102,54,848,724
18,Hountrion,Electric,271,202,193,103,235,153,54,1211,1018
19,Armado,Normal,177,64,166,208,64,56,54,789,725
20,Armadil,Normal,235,87,202,239,93,72,54,982,889
21,Armadon,Normal,277,93,251,271,117,134,54,1197,1080
22,Sanscale,Sand,230,132,148,126,113,107,54,910,797
23,Caradune,Sand,271,167,211,167,188,143,54,1201,1013
24,Bittybolt,Electric,189,137,73,149,107,110,54,819,746
25,Toravolt,Electric,243,179,146,199,251,173,54,1245,1099
26,Bloby,Fire,238,93,134,86,97,89,54,791,694
27,Molteye,Fire,286,117,193,113,144,115,54,1022,878
28,Ashclops,Fire,325,133,257,127,199,129,54,1224,1025
29,Fiddly,Water,171,107,196,164,57,53,54,802,745
30,Ucaclaw,Water,252,153,283,250,133,109,54,1234,1101
31,Moffel,Sand,208,85,156,73,147,66,54,789,642
32,Digmow,Sand,237,111,177,99,169,89,54,936,767
33,Dugterra,Sand,267,147,235,116,226,123,54,1168,942
34,Buzzlet,Electric,217,72,83,84,137,96,54,743,660
35,Bazzer,Electric,251,95,115,113,166,127,54,921,806
36,Rhynobuz,Electric,290,107,167,175,225,183,54,1201,1034
37,Lunarpup,Ghost,167,165,74,65,206,77,54,808,734
38,Lunarwulf,Ghost,198,196,103,97,238,112,54,998,895
39,Eclyptor,Ghost,229,228,135,126,266,157,54,1195,1060
40,Kryo,Ice,250,51,84,101,113,103,54,756,672
41,Krypeek,Ice,289,89,126,142,154,146,54,1000,874
42,Krybeest,Ice,328,123,167,174,191,186,54,1223,1056
43,Bren,Fire,200,98,123,83,137,103,54,798,675
44,Pyrochick,Fire,200,98,123,83,137,103,54,798,675
45,Infinix,Fire,261,159,237,134,222,137,54,1204,982
46,Acie,Electric,163,94,76,143,200,123,54,853,777
47,Deecie,Electric,214,149,125,193,261,200,54,1196,1071
48,Kyreptil,Sand,267,63,176,197,61,77,54,895,834
49,Kyraptor,Sand,306,83,293,271,103,116,54,1226,1123
50,Gella,Water,180,125,88,103,141,85,54,776,688
51,Gellish,Water,231,153,143,119,181,133,54,1014,871
52,Gelaquad,Water,283,169,231,164,187,136,54,1224,1037
53,Skarbone,Sand,252,73,163,99,68,70,54,779,711
54,Skuldra,Sand,261,95,207,146,112,126,54,1001,889
55,Skelatops,Sand,270,119,265,171,156,183,54,1218,1062
56,Droople,Ghost,231,91,103,101,87,85,54,752,665
57,Mudma,Ghost,297,127,189,179,134,146,54,1126,992
58,Arcta,Ice,199,103,114,122,150,131,54,873,759
59,Arcturos,Ice,250,152,166,176,206,217,54,1221,1055
60,Seraphace,Ghost,247,75,97,102,127,134,54,836,739
61,Grimmask,Ghost,300,126,148,154,216,183,54,1181,1033
62,Squidma,Fire,185,147,83,72,106,203,54,850,767
63,Magmilus,Fire,268,206,144,135,166,251,54,1224,1080
64,Lumon,Electric,178,106,76,83,87,117,54,701,625
65,Lampyre,Electric,217,165,95,102,108,138,54,879,784
66,Lumasect,Electric,271,229,113,141,139,196,54,1143,1030
67,Patterbit,Normal,207,84,93,113,148,127,54,826,733
68,Pitterbyte,Normal,251,107,144,157,180,168,54,1061,917
69,Cyberite,Normal,280,126,166,185,219,201,54,1231,1065
70,Decibite,Sand,174,72,147,213,86,77,54,823,737
71,Centilla,Sand,206,87,185,281,104,103,54,1020,916
72,Millidont,Sand,235,103,199,364,125,153,54,1233,1108
73,Taddle,Water,187,186,101,83,88,83,54,782,694
74,Fibio,Water,247,186,163,99,132,93,54,974,842
75,Chonktoad,Water,287,147,193,199,156,187,54,1223,1067
76,Tinshel,Sand,201,92,93,166,86,114,54,806,720
77,Dunpod,Sand,253,109,146,228,98,126,54,1014,916
78,Sandril,Sand,294,114,173,273,113,138,54,1159,1046
79,Blizzburd,Ice,211,89,127,98,132,127,54,838,711
80,Blizzian,Ice,292,123,199,184,187,181,54,1220,1033
81,Purrgy,Ghost,197,105,107,83,123,89,54,758,651
82,Ghinx,Ghost,226,134,136,121,162,133,54,966,830
83,Purrghast,Ghost,267,187,190,143,209,174,54,1224,1034
84,Gauslime,Electric,158,83,146,147,126,111,54,825,699
85,Magnamire,Electric,242,122,220,209,168,157,54,1172,1004
86,Quagoo,Water,190,126,93,146,146,113,54,868,775
87,Swampa,Water,252,188,152,209,217,172,54,1244,1092
88,Squidly,Ghost,157,186,44,36,217,116,54,810,766
89,Octotle,Ghost,191,219,73,89,267,281,54,1174,1101
90,Ruptius,Fire,197,73,71,116,137,133,54,781,710
91,Vulbrute,Fire,277,89,147,259,261,209,54,1296,1149
92,Mooby,Sand,177,73,77,73,69,73,54,596,527
93,Molbash,Sand,201,107,193,177,84,186,54,1002,918
94,Malavite,Sand,269,129,247,193,102,245,54,1239,1137
95,Flowish,Water,183,143,123,79,73,96,54,751,678
96,Daricara,Water,301,166,246,168,164,202,54,1301,1137
97,Mino,Fire,180,145,127,66,103,103,54,778,675
98,Blazitaur,Fire,241,217,209,143,162,164,54,1190,1028
99,Frova,Ice,167,89,53,51,96,76,54,586,533
100,Froshell,Ice,195,97,70,109,120,157,54,802,732
101,Glamoth,Ice,259,166,144,133,258,231,54,1245,1101
102,Otogy,Ghost,257,54,126,63,148,73,54,775,649
103,Orotchy,Ghost,346,104,245,112,184,92,54,1137,953
104,Shimshell,Water,167,83,137,207,93,54,54,795,702
105,Atlantern,Water,226,142,203,349,209,107,54,1290,1087
106,Ucaclaw,Dark Magic,252,153,299,277,133,129,54,1297,1164
107,Lumon,Dark Magic,178,106,76,103,87,137,54,741,665
108,Lampyre,Dark Magic,217,165,95,136,108,158,54,933,838
109,Lumasect,Dark Magic,271,229,113,191,139,216,54,1213,1100
110,Centilla,Dark Magic,206,87,185,301,104,123,54,1060,956
111,Millidont,Dark Magic,235,103,199,365,125,173,54,1254,1129
112,Arcta,Dark Magic,199,103,114,142,150,151,54,913,799
113,Arcturos,Dark Magic,250,152,166,196,206,237,54,1261,1095
